Last state: ((2, 1, 1, 2), -1) wins so far:612, lost: 432, games:1044,eta:2.49681100163027e-05
Last state: ((0, 4, 2, 1), -1) wins so far:613, lost: 432, games:1045,eta:2.4718428916139672e-05
Last state: ((0, 5, 2, 1), -1) wins so far:613, lost: 433, games:1046,eta:2.4471244626978274e-05
Last state: ((4, 5, 3, 1), 1) wins so far:614, lost: 433, games:1047,eta:2.4226532180708493e-05
Last state: ((1, 5, 2, 1), -1) wins so far:614, lost: 434, games:1048,eta:2.3984266858901407e-05
Last state: ((5, 5, 2, 1), -1) wins so far:615, lost: 434, games:1049,eta:2.3744424190312394e-05
Last state: ((6, 1, 2, 2), 1) wins so far:616, lost: 434, games:1050,eta:2.350697994840927e-05
Last state: ((3, 3, 2, 1), -1) wins so far:616, lost: 435, games:1051,eta:2.3271910148925174e-05
Last state: ((4, 5, 3, 1), 1) wins so far:617, lost: 435, games:1052,eta:2.3039191047435922e-05
Last state: ((4, 5, 3, 1), 1) wins so far:618, lost: 435, games:1053,eta:2.2808799136961563e-05
Last state: ((6, 3, 2, 1), -1) wins so far:619, lost: 435, games:1054,eta:2.258071114559195e-05
Last state: ((5, 4, 2, 1), 1) wins so far:620, lost: 435, games:1055,eta:2.235490403413603e-05
Last state: ((4, 6, 3, 1), 1) wins so far:621, lost: 435, games:1056,eta:2.213135499379467e-05
Last state: ((1, 0, 1, 2), 1) wins so far:622, lost: 435, games:1057,eta:2.1910041443856724e-05
Last state: ((5, 3, 2, 2), 1) wins so far:623, lost: 435, games:1058,eta:2.1690941029418157e-05
Last state: ((4, 4, 3, 1), 1) wins so far:655, lost: 345, games:1000,eta:3.885412266959203e-05
Last state: ((4, 5, 3, 1), -1) wins so far:656, lost: 345, games:1001,eta:3.846558144289611e-05
Last state: ((1, 1, 1, 2), -1) wins so far:657, lost: 345, games:1002,eta:3.8080925628467146e-05
Last state: ((1, 1, 2, 1), -1) wins so far:658, lost: 345, games:1003,eta:3.7700116372182474e-05
Last state: ((5, 5, 2, 1), 1) wins so far:659, lost: 345, games:1004,eta:3.732311520846065e-05
Last state: ((1, 0, 2, 2), -1) wins so far:660, lost: 345, games:1005,eta:3.6949884056376046e-05
